Date,Time,Name of Event,Location,Participants,Type of Event,Extra,Duration
01.01.2022,8,bMQpoeJ,London,410,Optional,0,6
09.01.2022,11,zEsCnydah,New Delhi,1822,Optional,1,18
11.01.2022,20,RjLXdYdErVx ,Zagreb,715,Optional,1,7
13.01.2022,19,QCDeZjRsBgz,Johor Bahru,1717,Optional,0,10
14.01.2022,22,gtmrlSOkCJmgPkANfw,Mata-Utu,14,Optional,1,21
20.01.2022,17,ufHzwWtiRWIrPmiHpNwp,Valdivia,1503,Important,Presenting,2
21.01.2022,8,OAfBiBpZrEzbfRelfVDohfwE,Juneau,1851,Optional,1,16
22.01.2022,23,TYqSQaWRsi,Shenyang,394,Optional,0,9
30.01.2022,16,TDNWziQrmFlG,Aberdeen,543,Optional,0,1
31.01.2022,4,qATuRDxrmSDfujhRNXNBL,Bishkek,1618,Important,Presenting,21
03.02.2022,10,mfRzdf xusfcQsFsimmAQvkXX,Tabriz,1528,Optional,0,20
05.02.2022,19,CpsZJolpvGDYjuUi oSvdXKsd,Nakhon Ratchasima,1153,Moveable,19.04.2023,9
07.02.2022,14,yZnxMjnEx FNBcQZRYVW,Surabaya,765,Optional,0,19
08.02.2022,15,Auxlu,Skopje,946,Optional,1,21
16.02.2022,6,jcoUILxTC,Labasa,1550,Moveable,12.10.2022,13
23.02.2022,1,PqNhpEbVOHcrgGOZbjNrYj,Saipan,1099,Optional,1,19
27.02.2022,13,vrMLdXBFRJEi,Makati City,1056,Moveable,18.06.2024,1
28.02.2022,5,TdEipQYEyxJti,Darwin,1478,Moveable,30.04.2024,18
02.03.2022,5,GFnUE,Makati City,568,Important,Hosting,5
04.03.2022,4,BFMvVlQ,Algiers,1327,Moveable,22.08.2022,10
06.03.2022,22,YtIwuyCRUqFlatOdvH,City of San Marino,409,Important,Presenting,3
07.03.2022,11,SEVUCqwFhEJZGQlSEKad,Istanbul,1207,Important,Hosting,1
29.03.2022,20,vWHsZ,Tirana,1427,Important,Presenting,11
30.03.2022,21,TiVcVJiHj,Phoenix,878,Important,Presenting,6
04.04.2022,19,gqWyxlOxQZkbggpDsUKpd,Pago Pago,1435,Moveable,22.01.2023,19
09.04.2022,21,mzPwBe,Ponta Delgada,1563,Moveable,27.10.2023,20
15.04.2022,9,aahtStJ,Lima,118,Important,Presenting,10
19.04.2022,20,yipBAHZOZvOpySk,Kano,1142,Optional,0,20
03.05.2022,0,kGCZfIi,Sitka,1475,Moveable,05.06.2024,19
04.05.2022,22,FORGx oSJHFEOSVS FauHg,Pontianak,499,Important,Presenting,4
10.05.2022,4,GQMCCjsZcUGeyfhCDZux,Geneva,1229,Important,Presenting,11
23.05.2022,18,PMxTyNyf,Bandar Seri Begawan,1733,Optional,1,6
26.05.2022,23,iUabd,Majuro,26,Optional,0,13
29.05.2022,4,xiwDzEIqrmvme,Libreville,997,Moveable,28.06.2024,21
06.06.2022,5,PMyXbahJjVAkzAapze,George Town,928,Optional,0,3
12.06.2022,16,uBGawHhnmAXNIVwCGkydSeN,Quezon City,1635,Optional,1,20
14.06.2022,0,OigbTsRTzJNnuOiRy,San Juan,726,Important,Attending,21
20.06.2022,15,JCHpdJL,Hobart,929,Moveable,14.08.2024,8
23.06.2022,10,iEwWl DVyO,Leipzig,569,Important,Presenting,18
25.06.2022,5,nzPhfwsfbEJWHMnKJHuBbcC d,Wuhan,1942,Optional,1,20
29.06.2022,23,EkQBEoQDsn wNIqDAfO,Douala,1070,Optional,0,9
05.07.2022,7,zUfzXV,Accra,1714,Important,Attending,13
09.07.2022,19,LtMgVeaBY,Pelotas,980,Moveable,21.02.2022,4
10.07.2022,3,nFijsdOMGiyfceWhlg pjcX,Graz,1681,Important,Presenting,19
11.07.2022,21,UtgMlCcBvlGuCKYlGYomJslS,Warsaw,1484,Moveable,12.01.2022,20
14.07.2022,0, SIaGTSawOi,Cork (city),1903,Moveable,14.09.2023,2
22.07.2022,7,suoEjnN,Kanpur,821,Important,Presenting,15
26.07.2022,14,ihvWAyfuSXfryae,Yokohama,1612,Optional,1,2
26.07.2022,17,tYEUmAvDZL,Adana,154,Important,Presenting,9
28.07.2022,0,bXkPlMnLApXoAvKLf,Chittagong,1246,Optional,1,6
28.07.2022,11,ggICrjeFDgUdjxJy,Rabat,1419,Moveable,03.02.2023,10
31.07.2022,21,jhEjjGnbzYcoFNgadJHDeZ,Memphis,681,Optional,1,22
12.08.2022,2,TAuHnRSyyKXhVAxkjat,Sana'a,123,Moveable,06.09.2024,7
12.08.2022,21,pLoKrllT,Santiago de Cuba,1763,Moveable,14.11.2024,15
17.08.2022,7,cgLVncWR,Bratislava,1832,Optional,1,15
19.08.2022,11,swYEHfnloMxUbVLi C,Liverpool,931,Optional,1,16
23.08.2022,22, mDdJ,Sarajevo,1153,Important,Presenting,14
29.08.2022,11,lDsJDkGyVaoRdcNWIrLOyIMj,Port Said,585,Important,Attending,9
03.09.2022,13,rAyGNXwm,Prague,1066,Important,Attending,10
07.09.2022,15,lqFriBFWWH,Ponta Delgada,1221,Optional,1,11
10.09.2022,0,dzHTQmCruQMGc,Bahía Blanca,1071,Optional,0,4
15.09.2022,19,IdNoRCamdPUzoxSOC,Espoo,82,Moveable,29.04.2024,3
17.09.2022,19,MrHsuE C SUZJIOxMuJtDYMS,Kabul,561,Moveable,26.07.2024,17
28.09.2022,5,VBHnmQdYqKMODvcarnBNBPo,Puerto Williams,1286,Moveable,25.11.2024,13
29.09.2022,15,SdeFxglnuuDEryQNftngdbJ,Harare,25,Important,Hosting,19
01.10.2022,8,MLEmadBZ,Osaka,1715,Important,Hosting,16
03.10.2022,3,VSmuwuLeclkdH,Moroni,1381,Optional,1,15
04.10.2022,21,MqYYn,Funafuti,1885,Optional,1,2
10.10.2022,12,YLxenXdIhHBNVTJvGrJ,Jersey City,1229,Moveable,07.12.2023,22
12.10.2022,13,wrsLemgaGzAqn,Amritsar,1748,Important,Hosting,11
14.10.2022,7,OUqMdRvOLRYGdY,Cannes,894,Optional,0,5
17.10.2022,7,SyFlryHpchPiqINbR,Maseru,149,Optional,1,19
19.10.2022,13,bSRhhPNWVPqjicZwMEHdDjpxJ,Yamoussoukro,334,Moveable,03.01.2023,20
21.10.2022,10,zOcTIWhTphGzkvPeAH,Ushuaia,27,Important,Hosting,14
24.10.2022,21,qOCZMI,Valdivia,1071,Optional,0,17
30.10.2022,17,xibnHxsaKATw,Edmonton,886,Optional,0,18
07.11.2022,9,iSDgVkNOFIcboXuiwSuNPgPV,Horta (Azores),206,Optional,0,18
17.11.2022,14,gmsniTvm CyegdZTHFpNGbS,Memphis,1871,Important,Hosting,19
19.11.2022,21,dQhWRavMvzpVumZ uvRFYiL,Rawalpindi,675,Important,Attending,17
10.12.2022,12,NcqvwQJIFOKS,Hong Kong,1983,Important,Attending,22
13.12.2022,1, ulfBprzYuon,Columbus,1316,Important,Attending,2
19.12.2022,13,lpiaeylSwPufiaYjQkAB,Toronto,131,Moveable,23.12.2023,3
21.12.2022,16,aFFDjNqPXVU,Rio de Janeiro,293,Important,Presenting,23
23.12.2022,17,LOmfJohfwMRywmxnh,Quito,570,Moveable,16.10.2022,13
25.12.2022,8, TochuxBGIwGFKKk,Mexico City,1972,Important,Attending,21
26.12.2022,13,XKKTGMsYfxx,Riverside,1582,Moveable,21.06.2024,14
30.12.2022,11,oNPxJdgXHjsdB qkUBf,Koror,1445,Moveable,02.02.2022,2
01.01.2023,18,XmYgKZIaDsEsAUcHG,New Orleans,304,Optional,1,2
02.01.2023,20,fHUWFtvadwDAClk VfVZdLpg,Buffalo,1469,Moveable,28.06.2024,6
03.01.2023,6,xnXWtlPSXMiCgkHYWy DtF,Bratsk,241,Optional,0,9
13.01.2023,1,Pzh SxNfGHlNgayKaaXn,Kaesong,642,Important,Presenting,5
19.01.2023,4,uSUFAjQYMzA,Mérida,836,Optional,0,5
20.01.2023,0,lHWQIr,Nukus,1167,Optional,1,5
23.01.2023,23,pjIndrd,Belgrade,1303,Moveable,16.08.2022,2
25.01.2023,22,OhBQBYD,Roseau,1014,Optional,0,14
28.01.2023,0,aYnUloFp,Changchun,1706,Important,Attending,21
30.01.2023,19,dliNXTZuwTxCERJuNselHn,Maracaibo,206,Important,Presenting,5
10.02.2023,15,qCyBx,George Town,462,Optional,0,5
12.02.2023,12,IwDeWwmpKeTQ,Columbus,1598,Important,Hosting,22
19.02.2023,8,HuxtQqXgmLvleE,Astana,416,Moveable,08.04.2023,15
20.02.2023,3,tNIdR,Tucson,1836,Important,Presenting,3
22.02.2023,2,wwtJkJQjqlftTUDFSr,Freetown,1393,Moveable,09.05.2022,22
24.02.2023,14,qtcjMQITaCANjSlZDaMQ,Prague,42,Important,Attending,19
01.03.2023,1,amODFNABjoaYnRMylVUtihriE,Kanpur,1748,Moveable,03.11.2023,4
01.03.2023,6,udFgJgSbrUgc,Timbuktu,1976,Moveable,30.06.2023,12
05.03.2023,13,JhypJCiinVweDJ,Nagoya,627,Important,Presenting,2
08.03.2023,12,UhGoNTzPI olsNRq ,Hamburg,1324,Optional,1,16
12.03.2023,8,POBBZYVNTH,Tucson,1618,Moveable,05.08.2024,8
14.03.2023,0,fbP ta h,Nouakchott,1788,Important,Attending,12
16.03.2023,7,EsPbCsYHgMGUggwQwmOMWNbiq,Ouagadougou,220,Optional,0,23
17.03.2023,7,toDNNp,Nairobi,447,Optional,1,21
23.03.2023,13,FktRdiu,Vatican City,797,Optional,1,10
25.03.2023,23,OKXrSEz,Antwerp,534,Optional,1,8
03.04.2023,23,EnKCpovXB,Manzini,820,Important,Hosting,23
09.04.2023,3,rcyUeMjkJgsFZnUKNO Q,Budapest,1363,Important,Attending,22
12.04.2023,11,YPgQX,Xi'an,1982,Moveable,29.06.2024,20
17.04.2023,5,LPVwwx,Kuwait City,583,Moveable,06.08.2024,23
20.04.2023,16,KCqQQP TKkizpcwmMETWGI,Calgary,1233,Moveable,22.04.2022,10
21.04.2023,3,FnmusGQTaXBLdeuKpBVVUqLD,Kota Kinabalu,1551,Moveable,14.09.2024,2
21.04.2023,7,kjuvOOrAQgMbhJKzxUUHIENxU,Mérida,550,Important,Hosting,4
26.04.2023,18,BZkqNbKWb,Anadyr (town),1174,Moveable,14.09.2024,5
11.05.2023,23,ldaZQweF,Simferopol,454,Important,Attending,22
15.05.2023,7,JDtVtUFfokvD,Petropavlovsk-Kamchatsky,1180,Moveable,08.11.2022,9
18.05.2023,13,XwKUveKOVYrZbOiFtXl,Bern,329,Optional,1,15
20.05.2023,16,vZEHOCCthwILw lefSCu,Weno,168,Moveable,07.10.2024,5
22.05.2023,3, QtBaXoZoW,Palikir,1987,Important,Attending,15
24.05.2023,16,KZUxBJ k,Omsk,862,Optional,1,23
26.05.2023,21, AIFq,New York City,1745,Optional,1,16
28.05.2023,9,IghPqkWL aGLfN,Panama City,831,Optional,1,13
18.06.2023,16,NmVDUKh,Libreville,292,Moveable,03.04.2022,6
19.06.2023,2,WDtncCoSUQWYNK,Liverpool,489,Optional,1,14
20.06.2023,20,ixRdzNJgFSGNEKzcBpy,Naples,306,Moveable,07.02.2024,2
21.06.2023,16,FBBKevRuTATTQyFE,Melbourne,5,Optional,1,13
27.06.2023,3,WQhvmJq,Sarajevo,1419,Optional,0,13
02.07.2023,19,ccBWQOfJcpgsSavJPGC,Budapest,181,Important,Hosting,16
16.07.2023,3,xYoiEesJOSkvpNvTmRIaumOmk,Davao City,1700,Optional,0,23
20.07.2023,9,okpGit,Barranquilla,1609,Moveable,18.12.2023,5
21.07.2023,8,qaysAnmrxmhApwXgauUF,Moscow,265,Important,Presenting,4
21.07.2023,21,XkmbcqElumD fIQwERdPuY,İzmir,475,Moveable,21.10.2022,6
22.07.2023,10,kkrGhXmo,Pattaya,1603,Moveable,19.10.2024,15
23.07.2023,10,yXFKiGybXApPHvOkiXH,Dammam,1770,Important,Presenting,20
24.07.2023,12,CnrCYfHEqTxbO,Suva,1895,Optional,0,10
09.08.2023,8,AhGMbdsEEylpuOCbjrUvMEEyJ,Yakutsk,1561,Important,Presenting,5
27.08.2023,22,EdPc ,Puebla,442,Moveable,13.04.2022,5
29.08.2023,17,Fzslnzl,Vienna,1445,Optional,0,2
07.09.2023,22,CIBIRwRYphmGhOaZGDD,Ibiza,174,Moveable,11.06.2022,18
10.09.2023,11,ALmlcQNneWT,Murmansk,869,Important,Hosting,22
12.09.2023,18,EffeE IyNARifWhNbGPHAiMM,Astana,1146,Important,Hosting,3
20.09.2023,18,unjHchRvyj,Geneva,1154,Moveable,26.02.2022,20
22.09.2023,7,EGbcoyvjN,Seattle,410,Optional,0,1
26.09.2023,2,NEsCSseJU iBKEsh,Gdańsk,1426,Moveable,24.10.2022,4
26.09.2023,15,zuVMWVTjJe xbB,Saint-Pierre,715,Important,Presenting,15
27.09.2023,10,JZxNDhKaNyulpvHSoEF,Mandurah,1893,Important,Attending,16
29.09.2023,2,YgcYxFoqACZYRW DDlHaoP,Thiès,1604,Important,Presenting,16
01.10.2023,8,FQAxjtCOhdYmggB,Pelotas,1633,Optional,0,1
07.10.2023,15,fjurgrc,Bangkok,83,Important,Presenting,19
15.10.2023,13,vefYZzuTDGASzb,Cincinnati,323,Optional,1,19
19.10.2023,3,XSMmvfMVFFzZkmpP ,Patna,1985,Optional,0,10
21.10.2023,0,cFVJB,Surabaya,989,Important,Attending,4
22.10.2023,0,YIvXf N,Nairobi,318,Important,Attending,5
23.10.2023,23,gGoOTOXTpjuxGFE,Yaoundé,1181,Moveable,13.04.2022,2
02.11.2023,22,uVqgqoTVWqaIqHjx ,Kuwait City,713,Optional,1,9
06.11.2023,9,jiSBZTtjixwNZIWYSzJo,São Tomé,47,Important,Hosting,8
08.11.2023,5,gEwKwwqjZBzQ,Nouakchott,1200,Important,Presenting,22
10.11.2023,7,xClkAPukdrBEtiNgpejnV,Riga,423,Important,Hosting,4
11.11.2023,0,hekOBHDttNr yANpW,Pekanbaru,1339,Optional,0,1
18.11.2023,15,hhVHZY,Valletta,29,Important,Attending,16
27.11.2023,4,IpVSzOdrCNxNGFSZOhpcXm,Basse-Terre,281,Important,Hosting,22
16.12.2023,11,cipCIb,Pune,343,Important,Hosting,8
19.12.2023,1,DuMcVXFBYQxCIgjwZyoN X,Da Nang,1997,Optional,0,2
19.12.2023,10,kCtPBbWGY,Recife,1686,Moveable,12.02.2022,15
20.12.2023,3,ZeLSQfXWTYXJYDn,Dalian,1181,Optional,1,13
23.12.2023,10,iYLAeIDQHokGqcdBSI,Vitória,631,Moveable,25.03.2023,10
24.12.2023,0,WJjlgWvmowMhFWzGj,Santa Cruz de la Sierra,73,Moveable,21.05.2023,6
24.12.2023,6,HfgIeMnLoWUFAOrsR nXvBZvU,Khartoum,84,Important,Hosting,12
25.12.2023,5,lEtIkfjRMIYog ,Puerto Williams,825,Moveable,09.03.2024,11
26.12.2023,23,D NfaMJzqJqmZCuR,Port Vila,918,Moveable,25.01.2022,5
28.12.2023,7,JqRzdeDLMMJrYwcys,Seattle,1036,Moveable,16.01.2023,20
04.01.2024,12,VeGgvXxLZJrdgwPibtIH,Omsk,1932,Important,Hosting,13
11.01.2024,22,SUfgBwSu,Leipzig,1191,Moveable,02.07.2024,23
16.01.2024,16,oyQzdNcbPgfDZqIqgamkkOSPd,Chicago,1277,Optional,0,14
17.01.2024,8,gcFEigdzf,Jeddah,1104,Moveable,03.09.2022,8
23.01.2024,20,zGlytybFqf m,Hamilton,1434,Optional,1,23
28.01.2024,9,VxXroBOGnWaDUKNK,Luxembourg (city),712,Moveable,27.01.2022,12
01.02.2024,10,yjNbVYWNgz,Sabha,1929,Optional,0,6
04.02.2024,10,bg IGjHGheMJuXjvpeTKFsk,Monterrey,1847,Important,Presenting,17
08.02.2024,14,TrmAGHaBWl RQd,Kaliningrad,37,Optional,1,8
09.02.2024,10,WMGbmLuhuohnsclP,Toronto,464,Important,Presenting,1
11.02.2024,13,PvQAyOlxv,Tiraspol,705,Important,Hosting,4
15.02.2024,0,ZQDAFqho,Yangon,1394,Important,Hosting,8
21.02.2024,9,yYSn BusIvlUbvyGatrnKbng,Raleigh,1255,Moveable,31.08.2023,2
22.02.2024,14,cYitfnZzt,Chittagong,1944,Optional,0,3
24.02.2024,16,kEuaq,Kobe,619,Important,Hosting,5
29.02.2024,5,oywyXuEycK,Phuket (city),1816,Moveable,30.05.2023,15
01.03.2024,1,qDgZMDtkn,Damascus,527,Optional,1,18
06.03.2024,6,FnzFQEXkxQNoezdBjJONNVs,Nukus,959,Moveable,21.10.2023,23
09.03.2024,11,eYwWwiSWygC,Balikpapan,1252,Moveable,24.09.2022,16
16.03.2024,21,hHDLbjymmngcZyY DhBHA,Mecca,1025,Moveable,17.10.2024,18
17.03.2024,23,MOxvCQnQKsULzqLKgMqXW,Kunming,1639,Optional,0,11
04.04.2024,17,QEHiQJPgOQ tNGr,Chongjin,1403,Important,Hosting,21
06.04.2024,12,TfT hAfaXNkvpEmHh,Louisville,993,Moveable,28.04.2024,11
09.04.2024,3,JURUxASiBulaNgBx,Rawalpindi,53,Optional,0,9
12.04.2024,0,LkofqOMdaKsRtPJ,Palembang,1828,Moveable,05.11.2024,13
23.04.2024,17,aPzYVJXuQfLFULxwJMu,Macau,1047,Moveable,01.06.2022,12
25.04.2024,11, LEJomVgYgcFZIqfHRqPkgkX,Vaduz,945,Optional,0,17
04.05.2024,0,LTTcXeTn,Saipan,1643,Important,Attending,11
14.05.2024,14,agGHd q,San Juan,171,Optional,0,17
19.05.2024,16,FqTNsHWtGyUSDFuCC,Wellington,479,Optional,0,1
20.05.2024,9,GVVXiDgQA,Patna,1659,Moveable,12.07.2024,20
26.05.2024,11,wdmSpUveBpQZPyyBoxxkSJk,Whitehorse,1062,Optional,0,14
28.05.2024,19,srOmrJSXsLXGXKekEpu,Medan,465,Optional,0,22
04.06.2024,15,rHlbkNal,Vienna,1304,Important,Presenting,15
15.06.2024,22,RKxUMdYjydQaaCkhh,Libreville,1532,Important,Hosting,14
18.06.2024,16,DN nLEQrJufPKbqCxbPmBr,Nashville,53,Important,Hosting,13
22.06.2024,6, CMNsUNfQIQb,Mogadishu,1992,Important,Presenting,9
26.06.2024,17,tWJTVvRiu,Bratsk,1899,Optional,1,15
27.06.2024,14,KJADRBLMYjEpMMNogZ MsMPp,Lagos,776,Important,Presenting,9
06.07.2024,17,IuKEoxDsXNufGnD,Avarua,1114,Optional,0,3
15.07.2024,5,cZdAM LZOeukAcCQsGTr,Zhengzhou,1003,Important,Attending,6
19.07.2024,19,pWyGRfAGiZn,Brasília,53,Important,Hosting,9
24.07.2024,14,lkEb aOf,Bissau,1532,Moveable,10.06.2024,15
28.07.2024,9,ZvLapjwWdxFaAdbDh,Denver,1945,Optional,0,16
06.08.2024,7,xUZQDfEgSBAyWsaYMc,Saint-Pierre,1779,Optional,0,10
16.08.2024,5,GTjxiNvAe,The Valley,1148,Optional,0,14
17.08.2024,9,rWVGAZCaSolSNKsCrPqfuZqZ,Kaliningrad,1370,Optional,0,6
17.08.2024,19,vOZyE,Chiang Mai,1962,Moveable,15.07.2024,18
21.08.2024,12,zO tdtQXvmr,Almaty,158,Optional,0,8
23.08.2024,17,hOYtRgFtmAWnNZ U,Dhaka,761,Moveable,13.08.2022,16
28.08.2024,3,AHAYXsdQcJAJhd,Tripoli,1238,Moveable,07.11.2022,1
04.09.2024,2,wrLGayGmNXVIuTYZJ,Ambon,1770,Moveable,04.12.2022,12
05.09.2024,14,KdNPPOLsbFkMXHhINRQNH,Ürümqi,190,Optional,1,20
12.09.2024,19,JWaDimZXndPC,Bamako,646,Optional,0,19
16.09.2024,1,XFGYNpGJoNMOiLFBo rrC,Monaco,1806,Optional,0,12
21.09.2024,13,MZuwkdjmhlUOpRKiJ,The Valley,582,Optional,1,23
24.09.2024,5,RiowQkOKhvdWjH,Belgrade,409,Important,Hosting,9
26.09.2024,6,kvfTbfpH,Guatemala City,928,Moveable,21.11.2022,20
27.09.2024,10,JNqHsDRcvmtDnQhhTCnMU,Horta (Azores),492,Moveable,14.04.2023,5
03.10.2024,0,wmeYqPDOdnjENvhglBmo,Ljubljana,171,Optional,0,12
08.10.2024,17,crPTEFkoOJjcXVslZZaGMJ,Tabriz,847,Moveable,31.10.2024,4
09.10.2024,10,GafyIybMgsUxeDNgWKDIrHeT,Mérida,1954,Moveable,20.08.2022,10
10.10.2024,14,sEXVfKhppXMIdh,Changchun,1551,Important,Attending,1
11.10.2024,20,CmhNOuf jFNQpsM,Magadan,451,Important,Presenting,8
19.10.2024,3,kymAbsXFxA,Málaga,446,Important,Presenting,9
22.10.2024,14,SdraeB,Cuiabá,330,Moveable,08.04.2024,10
24.10.2024,12,CUDXdYPeqleJNVyPhTVWPJwBN,Pretoria,1713,Moveable,14.09.2023,10
26.10.2024,5,DtlicAecfVWV dPfyHkHfr SQ,Córdoba,915,Important,Attending,9
29.10.2024,7,VHzblOnDbbqhJ znB,Padang,214,Optional,0,11
01.11.2024,3,uVpJWblvFkWKhvozbCwsY,Longyearbyen,725,Optional,0,12
06.11.2024,1,bDBktzKTKFuFe,Forked River,1147,Optional,0,9
10.11.2024,10,DXhhKrI OEOqFarwVFTDkDFSR,Miami,1953,Optional,1,10
19.11.2024,3,HxjfanaHrGWNHH OtHSS,Nouméa,651,Important,Attending,14
22.11.2024,4,sPJavGusnlYzbrvbrz,Saint John,1541,Moveable,01.04.2023,11
25.11.2024,8,EfjyhDLzOaFp,Port Moresby,106,Optional,1,10
29.11.2024,23,NJVKlkhk,Frankfurt,634,Important,Hosting,6
02.12.2024,18,PFHuSoR,Lagos,682,Optional,1,7
03.12.2024,8,rHUzOIDHLlZdlH,Philadelphia,1347,Optional,1,10
05.12.2024,14,BeIqNccwhUHkAmJxdtNq,Baltimore,1854,Optional,1,19
08.12.2024,13,CeIWdqJLPa FCRab,Apia,1900,Important,Presenting,13
11.12.2024,19,sHNIogqLgeBAXcfWFG,Nice,375,Important,Presenting,1
16.12.2024,14,GEpkvKa,Buffalo,83,Important,Hosting,16
21.12.2024,16,dCYWnkrCWOJdNcGvztNj,Conakry,1151,Optional,1,19
06.06.2022,8,Wake up & Breakfast,at Home,1,Optional,1,1
06.06.2022,12,Nail the Project Defense,CVUT,10,Important,Presenting,1
06.06.2022,15,Enjoy success,Outside,1,Moveable,06.06.2022,3
06.06.2022,23,Go to sleep proud,at Home,1,Optional,0,8
